,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Lat,Hotel Lng,Hotel Name
190,thompson,-33.7333,-70.75,64.99,55,0,0.34,CL,1619446220,-33.7318742,-70.737427,Hostal Condell
191,te anau,26.7617,-81.4384,78.01,69,1,2.06,US,1619446221,26.7682126,-81.3914843,Port LaBelle Inn
192,vila velha,6.8833,73.1,85.24,70,19,2.91,MV,1619446208,6.889691099999999,73.1120938,"DhidhdhooINN, BeachView"
193,khasan,-9.8,-139.0333,79.59,69,100,6.26,PF,1619446222,-9.8040123,-139.0256961,Hôtel Hiva Oa Hanakee Lodge
194,yoichi,-8.8368,13.2343,86.0,74,20,6.17,AO,1619445805,-8.8034088,13.2420229,Hotel Presidente Luanda
195,meulaboh,64.75,177.4833,19.4,93,100,3.0,RU,1619446223,64.7349323,177.5161254,Chukotka hotel
196,solwezi,-10.4544,161.9205,79.18,84,100,2.34,SB,1619446224,,,
197,balykshi,38.5167,-28.7,64.4,72,20,5.14,PT,1619446224,38.5222086,-28.7105125,Quinta Das Buganvílias
198,hunza,63.05,179.3167,22.21,96,58,1.88,RU,1619446224,,,
199,lasa,14.8961,-24.4956,72.46,74,26,5.19,CV,1619446224,14.8995932,-24.4981834,Hotel Xaguate
200,nizhneyansk,-5.0892,-81.1144,69.8,83,75,8.23,PE,1619446225,-5.086183999999999,-81.11210899999999,Hotel Buongiorno
201,lakes entrance,40.2833,97.2,50.7,14,89,4.12,CN,1619446225,,,
202,kumeny,66.8333,70.8333,34.88,91,100,7.06,RU,1619446225,66.86857069999999,70.8292934,"Hotel ""Nord House"""
203,moose jaw,44.0622,131.1207,45.16,60,77,1.61,CN,1619446226,44.058981,131.125734,Huayu Hotel
204,kavieng,38.4167,77.2406,70.12,12,1,2.11,CN,1619446226,38.414222,77.247519,Xinsheng Hotel
205,sinnamary,-20.4597,-66.825,42.87,18,0,4.48,BO,1619446227,-20.4654838,-66.8265174,Hotel de Sal Casa Andina
206,victoria,-22.8833,-43.1036,84.0,83,75,1.54,BR,1619446227,-22.9029826,-43.1344595,Quality Hotel Niterói
207,marcona,-23.1862,27.4886,85.71,8,0,0.59,BW,1619446228,,,
208,diamantino,51.219,22.6962,39.2,70,20,1.54,PL,1619446228,51.21137539999999,22.6968593,Hotel Restauracja Notabene
209,namibe,-0.9516,122.7875,77.31,83,85,1.2,ID,1619446228,-0.9879494,122.7860761,Swiss-Belinn Hotel Luwuk
210,aflu,17.3367,96.4797,86.0,74,40,4.63,MM,1619446229,17.30806,96.46515989999999,Supreme Hotel
211,cayenne,-1.8283,-44.8683,87.55,59,93,2.53,BR,1619446229,-1.8274657,-44.8712329,Hotel Kelma
212,wuwei,69.7008,170.3133,14.68,95,100,1.2,RU,1619446229,69.700893,170.2872947,Severnoye Zoloto
213,cidreira,44.6453,-63.5724,53.6,94,75,6.17,CA,1619445783,44.651162,-63.57344999999999,Halifax Marriott Harbourfront Hotel
214,buin,20.7833,97.0333,65.46,81,90,1.69,MM,1619446230,20.7692517,97.0435577,Taunggyi Hotel
215,labelle,29.8458,-90.1067,73.99,78,75,4.63,US,1619446230,29.8783067,-90.05243589999999,TownePlace Suites by Marriott New Orleans Harvey/West Bank
216,dhidhdhoo,22.8909,-109.9124,69.01,25,40,2.57,MX,1619446230,22.888203,-109.9059105,Bahia Hotel & Beach House
217,atuona,69.4865,88.3972,11.91,88,100,3.77,RU,1619446231,,,
218,luanda,-25.2406,130.9889,64.4,29,0,4.12,AU,1619446231,-25.2390223,130.9834051,Sails in the Desert
219,bolungarvik,51.5,95.6,32.63,72,86,1.61,RU,1619446231,,,
220,anadyr,28.3667,129.4833,63.79,67,93,5.33,JP,1619446231,28.3992271,129.5071563,山羊島ホテル
221,kirakira,49.1919,-98.1014,37.4,80,100,3.09,CA,1619446232,49.1935272,-98.0759506,Best Western Plus Morden
222,ribeira grande,35.1333,140.3,55.4,62,20,5.66,JP,1619446232,35.1501612,140.3221602,Katsuura Hilltop Hotel & Residence
223,beringovskiy,42.1584,-72.3287,45.0,45,40,8.75,US,1619446098,42.1541031,-72.326157,The Trainmaster's Inn
